Ewe/V	<I>/mA	
-6.6302162E-001	-6.769811519949740E-004
-6.6256338E-001	-6.615544031768365E-004
-6.6203588E-001	-6.464389636774122E-004
-6.6156572E-001	-6.300908634685239E-004
-6.6101909E-001	-6.147895121875885E-004
-6.6058719E-001	-6.000820799241385E-004
-6.6002858E-001	-5.858851747886189E-004
-6.5955603E-001	-5.682538793131114E-004
-6.5899748E-001	-5.532807524204712E-004
-6.5856558E-001	-5.404472333415643E-004
-6.5801412E-001	-5.252716812729000E-004
-6.5748662E-001	-5.083437352836374E-004
-6.5701658E-001	-4.947080301351365E-004
-6.5652955E-001	-4.820468759332633E-004
-6.5608078E-001	-4.664940074681414E-004
-6.5560830E-001	-4.508897457435453E-004
-6.5504259E-001	-4.358282443424448E-004
-6.5452462E-001	-4.229027179026499E-004
-6.5409738E-001	-4.093822901527436E-004
-6.5355325E-001	-3.933148943263288E-004
-6.5299231E-001	-3.788141147711430E-004
-6.5250772E-001	-3.668982071691178E-004
-6.5204716E-001	-3.531253251912855E-004
-6.5154594E-001	-3.368737415410158E-004
-6.5106851E-001	-3.219685242685459E-004
-6.5057206E-001	-3.107834531915245E-004
-6.5007806E-001	-2.951104140554647E-004
-6.4956486E-001	-2.816518000201898E-004
-6.4906359E-001	-2.670976782402270E-004
-6.4852661E-001	-2.546165858634932E-004
-6.4803737E-001	-2.399111200566796E-004
-6.4756709E-001	-2.249525316900189E-004
-6.4707071E-001	-2.113069766596623E-004
-6.4655989E-001	-1.998411696975942E-004
-6.4605868E-001	-1.858495254151698E-004
-6.4555264E-001	-1.706173166954243E-004
-6.4499891E-001	-1.571890917199258E-004
-6.4452636E-001	-1.445090119051289E-004
-6.4407998E-001	-1.302733041210324E-004
-6.4351201E-001	-1.155583782455182E-004
-6.4302027E-001	-1.026687695297447E-004
-6.4257872E-001	-8.975226165619131E-005
-6.4209652E-001	-7.544260964859159E-005
-6.4151418E-001	-6.102905758276124E-005
-6.4100343E-001	-4.818408416872239E-005
-6.4052606E-001	-3.630956486745906E-005
-6.4003438E-001	-2.081502248131210E-005
-6.3957131E-001	-7.208536459948570E-006
-6.3904142E-001	5.554471036068362E-006
-6.3846385E-001	2.001308837366341E-005
-6.3808435E-001	3.454467565420946E-005
-6.3751388E-001	4.825002518214788E-005
-6.3706994E-001	5.995447395394627E-005
-6.3656873E-001	7.515295814394953E-005
-6.3604599E-001	8.857370466274504E-005
-6.3552803E-001	1.031285046413370E-004
-6.3504601E-001	1.168485883349816E-004
-6.3451135E-001	1.301276656603237E-004
-6.3400292E-001	1.466351079550070E-004
-6.3354701E-001	1.607463381841144E-004
-6.3305533E-001	1.742010511546904E-004
-6.3247293E-001	1.896040964296181E-004
-6.3202661E-001	2.047641415368270E-004
-6.3150632E-001	2.177658035128641E-004
-6.3104087E-001	2.321773037160819E-004
-6.3048714E-001	2.473252459095762E-004
-6.3001937E-001	2.624499140899874E-004
-6.2954676E-001	2.762252450305446E-004
-6.2903833E-001	2.915028932815935E-004
-6.2849414E-001	3.060137927578433E-004
-6.2803352E-001	3.229270812856207E-004
-6.2758487E-001	3.366682802100033E-004
-6.2699044E-001	3.521282921854863E-004
-6.2655139E-001	3.686760264240306E-004
-6.2602144E-001	3.847445209830634E-004
-6.2554169E-001	4.006867799495643E-004
-6.2505245E-001	4.159842235489265E-004
-6.2453449E-001	4.340642374044412E-004
-6.2400222E-001	4.489432315643136E-004
-6.2358212E-001	4.654634506324933E-004
-6.2304509E-001	4.829987750144972E-004
-6.2256539E-001	5.002783732116963E-004
-6.2212378E-001	5.165787240307002E-004
-6.2152714E-001	5.349304822451287E-004
-6.2099963E-001	5.525878461455908E-004
-6.2053412E-001	5.693666681774920E-004
-6.1999714E-001	5.893535334762483E-004
-6.1951506E-001	6.075265067319071E-004
-6.1899710E-001	6.257954313094588E-004
-6.1853164E-001	6.448705161864713E-004
-6.1803043E-001	6.647559944305555E-004
-6.1755788E-001	6.832283740082984E-004
-6.1699450E-001	7.026914582629363E-004
-6.1649811E-001	7.241695561983619E-004
-6.1601597E-001	7.440594545249428E-004
-6.1552429E-001	7.643885910837965E-004
-6.1499441E-001	7.857235166210093E-004
-6.1453617E-001	8.069666639734883E-004
-6.1404210E-001	8.276812386077276E-004
-6.1353129E-001	8.499820244502468E-004
-6.1301583E-001	8.735514322130103E-004
-6.1255503E-001	8.945312393818725E-004
-6.1196315E-001	9.175334146872959E-004
-6.1151922E-001	9.408146608041361E-004
-6.1103469E-001	9.637237312067406E-004
-6.1050719E-001	9.885226534044897E-004
-6.1005610E-001	1.012853857214439E-003
-6.0953343E-001	1.036957258437790E-003
-6.0908473E-001	1.061600262647363E-003
-6.0850465E-001	1.088495600756291E-003
-6.0802740E-001	1.114752038395552E-003
-6.0749751E-001	1.138747795272212E-003
-6.0701531E-001	1.166040762424956E-003
-6.0651165E-001	1.193593748602293E-003
-6.0599381E-001	1.218565703754216E-003
-6.0551405E-001	1.246625086574713E-003
-6.0501039E-001	1.275356281810712E-003
-6.0447824E-001	1.300284193685603E-003
-6.0401994E-001	1.328619532165543E-003
-6.0351151E-001	1.359502041815345E-003
-6.0297686E-001	1.388238161943229E-003
-6.0256875E-001	1.415125460577604E-003
-6.0205078E-001	1.445353954860068E-003
-6.0153282E-001	1.476250425843883E-003
-6.0103405E-001	1.503847534252067E-003
-6.0049939E-001	1.533705587359085E-003
-6.0006255E-001	1.565978558765405E-003
-5.9956855E-001	1.596337913166733E-003
-5.9905064E-001	1.626440074869893E-003
-5.9848964E-001	1.659570585217493E-003
-5.9799796E-001	1.690892327045543E-003
-5.9752536E-001	1.721367410618274E-003
-5.9699076E-001	1.756040698939882E-003
-5.9649187E-001	1.789215437440650E-003
-5.9603608E-001	1.820455215754595E-003
-5.9556586E-001	1.855036566822491E-003
-5.9499538E-001	1.889484099868131E-003
-5.9447980E-001	1.921856830837343E-003
-5.9397864E-001	1.959167741924068E-003
-5.9355134E-001	1.993688332869368E-003
-5.9299046E-001	2.025587979169244E-003
-5.9256804E-001	2.062006149427373E-003
-5.9199756E-001	2.097520209357384E-003
-5.9149867E-001	2.132998231397336E-003
-5.9105009E-001	2.169116445385671E-003
-5.9046048E-001	2.206541356192120E-003
-5.9005469E-001	2.243397902785410E-003
-5.8955109E-001	2.279513761207616E-003
-5.8899015E-001	2.316906810975867E-003
-5.8846748E-001	2.353684692321011E-003
-5.8802354E-001	2.391468721233413E-003
-5.8749378E-001	2.432118964856761E-003
-5.8700919E-001	2.469079639075736E-003
-5.8653891E-001	2.510039596058247E-003
-5.8600187E-001	2.547797673314610E-003
-5.8548158E-001	2.587820439120283E-003
-5.8504480E-001	2.628719402487212E-003
-5.8455789E-001	2.668095295280197E-003
-5.8403999E-001	2.712326810071080E-003
-5.8352441E-001	2.752713337490029E-003
-5.8299452E-001	2.795090631557393E-003
-5.8248627E-001	2.840078869603635E-003
-5.8195388E-001	2.881091503727801E-003
-5.8151472E-001	2.924553049029034E-003
-5.8102065E-001	2.970283105698669E-003
-5.8050513E-001	3.011789935892712E-003
-5.7997763E-001	3.055571723442118E-003
-5.7954079E-001	3.102366027188691E-003
-5.7905638E-001	3.147174444242638E-003
-5.7849067E-001	3.193584198676554E-003
-5.7798702E-001	3.240212872930532E-003
-5.7747871E-001	3.287965997696693E-003
-5.7702285E-001	3.335380580882494E-003
-5.7648331E-001	3.384005470463622E-003
-5.7605374E-001	3.432317761174593E-003
-5.7546896E-001	3.479943939932881E-003
-5.7506317E-001	3.532615647300716E-003
-5.7448083E-001	3.584334991441146E-003
-5.7407272E-001	3.634760088537581E-003
-5.7349271E-001	3.688423438740409E-003
-5.7302725E-001	3.742129438667988E-003
-5.7252127E-001	3.795362814032904E-003
-5.7201999E-001	3.851442773473823E-003
-5.7155222E-001	3.910277029020619E-003
-5.7096982E-001	3.967433080752217E-003
-5.7054263E-001	4.025147240446839E-003
-5.6999362E-001	4.087713713280025E-003
-5.6951147E-001	4.150341112614503E-003
-5.6898165E-001	4.210822112204415E-003
-5.6854486E-001	4.277305538450585E-003
-5.6797445E-001	4.344767534592439E-003
-5.6751370E-001	4.412290049614062E-003
-5.6697428E-001	4.480656893041016E-003
-5.6649697E-001	4.554893251250982E-003
-5.6599569E-001	4.629482369058580E-003
-5.6546348E-001	4.707922675123396E-003
-5.6504101E-001	4.789724894090533E-003
-5.6452543E-001	4.875483158472249E-003
-5.6398129E-001	4.962426517687656E-003
-5.6355643E-001	5.054141813259149E-003
-5.6303376E-001	5.150982560164517E-003
-5.6250858E-001	5.252165572813578E-003
-5.6199312E-001	5.363562729167437E-003
-5.6154674E-001	5.477817757560810E-003
-5.6105030E-001	5.597493513768155E-003
-5.6049180E-001	5.728286201039706E-003
-5.5996668E-001	5.868361855785070E-003
-5.5956328E-001	6.016628244587471E-003
-5.5897617E-001	6.176898561177993E-003
-5.5850118E-001	6.353205887630324E-003
-5.5806917E-001	6.540707393990930E-003
-5.5749393E-001	6.744246215272671E-003
-5.5699277E-001	6.970088029264576E-003
-5.5647963E-001	7.213903708779612E-003
-5.5600935E-001	7.478527982897193E-003
-5.5551523E-001	7.770984175643425E-003
-5.5499500E-001	8.092635552770954E-003
-5.5453426E-001	8.444992143978952E-003
-5.5402827E-001	8.832760857395359E-003
-5.5346268E-001	9.259905981576943E-003
-5.5300438E-001	9.709712388772301E-003
-5.5248642E-001	1.023627568483321E-002
-5.5194706E-001	1.082273923494789E-002
-5.5137175E-001	1.146657054522990E-002
-5.5096364E-001	1.218571294365528E-002
-5.5048627E-001	1.298180294352888E-002
-5.5001372E-001	1.386563699968985E-002
-5.4945517E-001	1.485217134488082E-002
-5.4898018E-001	1.595428277834515E-002
-5.4845995E-001	1.717274276620018E-002
-5.4803270E-001	1.852818463390249E-002
-5.4751468E-001	2.003775839935940E-002
-5.4700392E-001	2.172004784689789E-002
-5.4653138E-001	2.358275139622198E-002
-5.4597759E-001	2.566514032913592E-002
-5.4552650E-001	2.797693395620351E-002
-5.4501098E-001	3.053098365448038E-002
-5.4445487E-001	3.337994639924785E-002
-5.4394168E-001	3.653952819888276E-002
-5.4345959E-001	4.002726492662140E-002
-5.4303944E-001	4.388744830166474E-002
-5.4247856E-001	4.816563389090825E-002
-5.4201311E-001	5.287203218353040E-002
-5.4150712E-001	5.806097710740882E-002
-5.4098201E-001	6.377561300144108E-002
-5.4048318E-001	7.005344483972320E-002
-5.3997719E-001	7.693144975343524E-002
-5.3945684E-001	8.450146188350849E-002
-5.3899860E-001	9.276025609648908E-002
-5.3852606E-001	1.017437180713236E-001
-5.3795558E-001	1.113199042758057E-001
-5.3753304E-001	1.219132047531895E-001
-5.3697932E-001	1.334116166263994E-001
-5.3647810E-001	1.458939346513812E-001
-5.3597450E-001	1.593419331828740E-001
-5.3547567E-001	1.737916319748284E-001
-5.3498644E-001	1.892938170347533E-001
-5.3456396E-001	2.058748175717588E-001
-5.3398389E-001	2.235580412343257E-001
-5.3351372E-001	2.423736161105763E-001
-5.3301966E-001	2.624276197311346E-001
-5.3250891E-001	2.835834529534012E-001
-5.3201485E-001	3.058854106904478E-001
-5.3149211E-001	3.294480437497585E-001
-5.3099799E-001	3.541160733970736E-001
-5.3047532E-001	3.798644554046810E-001
-5.3003621E-001	4.068077747829357E-001
-5.2949196E-001	4.348431965630120E-001
-5.2897161E-001	4.638212491909979E-001
-5.2849424E-001	4.938758987062517E-001
-5.2797401E-001	5.248267127432458E-001
-5.2752525E-001	5.566952119348159E-001
-5.2705264E-001	5.895115045214378E-001
-5.2650374E-001	6.231848547369521E-001
-5.2596194E-001	6.575265359281665E-001
-5.2547258E-001	6.925374803806918E-001
-5.2494514E-001	7.281348699775972E-001
-5.2453220E-001	7.644069601246510E-001
-5.2403331E-001	8.011796108690365E-001
-5.2354646E-001	8.385902563784607E-001
-5.2299035E-001	8.763520885390755E-001
-5.2252972E-001	9.143633397929101E-001
-5.2202362E-001	9.527220504804124E-001
-5.2153206E-001	9.914237312511985E-001
-5.2097827E-001	1.030220991389651E+000
-5.2050328E-001	1.069410830978043E+000
-5.2004975E-001	1.106808539076647E+000
-5.1950318E-001	1.145718572891959E+000
-5.1904732E-001	1.185230397728875E+000
-5.1850069E-001	1.224832017053412E+000
-5.1802814E-001	1.264285105651579E+000
-5.1756036E-001	1.303744201593172E+000
-5.1701134E-001	1.343437529710448E+000
-5.1652443E-001	1.382848884620802E+000
-5.1602560E-001	1.422143216092915E+000
-5.1549810E-001	1.461249452543912E+000
-5.1502317E-001	1.500349053826756E+000
-5.1454103E-001	1.539292358431073E+000
-5.1395631E-001	1.578420601501964E+000
-5.1347417E-001	1.617379772570961E+000
-5.1302785E-001	1.656027509772791E+000
-5.1256478E-001	1.694630821165951E+000
-5.1203966E-001	1.733120706735526E+000
-5.1149070E-001	1.771671257091775E+000
-5.1102763E-001	1.810134702754020E+000
-5.1045251E-001	1.848534436578941E+000
-5.1000130E-001	1.886657823614556E+000
-5.0951689E-001	1.924767859116370E+000
-5.0898224E-001	1.962841007185496E+000
-5.0847137E-001	2.000832551864224E+000
-5.0803459E-001	2.038570016459047E+000
-5.0754058E-001	2.076663736866887E+000
-5.0702739E-001	2.114325090744803E+000
-5.0651419E-001	2.152015763169132E+000
-5.0602257E-001	2.189794281830372E+000
-5.0556904E-001	2.227538147304703E+000
