Ewe/V	<I>/mA	
-7.7115399E-001	-1.304990852907957E-003
-7.7064067E-001	-1.278470579218691E-003
-7.7017260E-001	-1.273247490596031E-003
-7.6964259E-001	-1.258610733664407E-003
-7.6915795E-001	-1.235581683503866E-003
-7.6867557E-001	-1.201931462969295E-003
-7.6812404E-001	-1.168478844374918E-003
-7.6759630E-001	-1.151256803281282E-003
-7.6719284E-001	-1.149366984240528E-003
-7.6668906E-001	-1.135862936745301E-003
-7.6620674E-001	-1.107196525524799E-003
-7.6569808E-001	-1.072994284093271E-003
-7.6517045E-001	-1.044997447343776E-003
-7.6465470E-001	-1.035996118125123E-003
-7.6415092E-001	-1.029006585650253E-003
-7.6365191E-001	-1.013450136699477E-003
-7.6322210E-001	-9.798825161858628E-004
-7.6269919E-001	-9.436281504443395E-004
-7.6210946E-001	-9.279404653568073E-004
-7.6160806E-001	-9.237048016851012E-004
-7.6114720E-001	-9.145313753903227E-004
-7.6070553E-001	-8.924093814649779E-004
-7.6020408E-001	-8.610036628185821E-004
-7.5961906E-001	-8.333442595075836E-004
-7.5917500E-001	-8.129424432171744E-004
-7.5865686E-001	-8.057275175377324E-004
-7.5815058E-001	-8.008196224539420E-004
-7.5771135E-001	-7.786434669988835E-004
-7.5717169E-001	-7.468360045366547E-004
-7.5664645E-001	-7.178307495179347E-004
-7.5609243E-001	-7.073549588137631E-004
-7.5561732E-001	-7.035698885366950E-004
-7.5518274E-001	-6.921997021290017E-004
-7.5465983E-001	-6.692705751157432E-004
-7.5419194E-001	-6.425128797841592E-004
-7.5367373E-001	-6.138067220774045E-004
-7.5314373E-001	-5.926715011482318E-004
-7.5267565E-001	-5.853485345365672E-004
-7.5219339E-001	-5.843806229996612E-004
-7.5169921E-001	-5.706389778746301E-004
-7.5114048E-001	-5.470372712721942E-004
-7.5067002E-001	-5.139282058089345E-004
-7.5019723E-001	-4.896095492876735E-004
-7.4968147E-001	-4.780033610835253E-004
-7.4918491E-001	-4.759239538141757E-004
-7.4867636E-001	-4.709490741473303E-004
-7.4816293E-001	-4.461692353025411E-004
-7.4763769E-001	-4.242324933284337E-004
-7.4714100E-001	-3.930572021460088E-004
-7.4668503E-001	-3.839730458162060E-004
